president,bucket,row_id,row_type,source_title,source_date,url,fit,recommended_use,notes
"Barack Obama","Taxes / Economy",18,"action","American Recovery and Reinvestment Act of 2009 - Making Work Pay Credit","2009-01-26","https://www.congress.gov/bill/111th-congress/house-bill/1/text/ih","high","direct_attach","Direct statutory text for the Making Work Pay credit."
"Barack Obama","Taxes / Economy",21,"action","American Taxpayer Relief Act of 2012","2013-01-02","https://www.congress.gov/bill/112th-congress/house-bill/8","high","direct_attach","Best direct source for the fiscal-cliff deal raising top rates while extending lower rates for many taxpayers."
"Barack Obama","Taxes / Economy",15,"outcome","American Taxpayer Relief Act of 2012","2013-01-02","https://www.congress.gov/bill/112th-congress/house-bill/8","high","direct_attach","Best single official source for the negotiated partial rollback outcome."
"Barack Obama","Voting Rights / Civil Rights",75,"action","H.R.97 - Deceptive Practices and Voter Intimidation Prevention Act of 2009","2009-01-06","https://www.congress.gov/bill/111th-congress/house-bill/97","high","direct_attach","Best direct source for introduction and bill substance."
"Barack Obama","Voting Rights / Civil Rights",76,"action","H.R.97 - Deceptive Practices and Voter Intimidation Prevention Act of 2009","2009-06-12 latest action","https://www.congress.gov/bill/111th-congress/house-bill/97","high","direct_attach","Best direct source for committee referral and stall."
"Barack Obama","Voting Rights / Civil Rights",38,"outcome","H.R.97 - Deceptive Practices and Voter Intimidation Prevention Act of 2009","2009-06-12 latest action","https://www.congress.gov/bill/111th-congress/house-bill/97","high","direct_attach","Best single source for the introduced-but-not-enacted outcome."
"Donald J. Trump","Climate / Energy",25,"action","Statement by President Trump on the Paris Climate Accord","2017-06-01","https://trumpwhitehouse.archives.gov/briefings-statements/statement-president-trump-paris-climate-accord/","medium","direct_attach","Direct announcement source; best official White House page if URL resolves in your workflow."
"Donald J. Trump","Climate / Energy",26,"action","United States National Statement at UNFCCC COP25","2019-12-11","https://2017-2021.state.gov/united-states-national-statement-at-unfccc-cop25/","high","direct_attach","Official State Department source confirming the formal withdrawal timetable after U.S. notification."
"Donald J. Trump","Courts / Judiciary",30,"action","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Direct Senate source listing Gorsuch nomination date."
"Donald J. Trump","Courts / Judiciary",31,"action","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Direct Senate source listing Kavanaugh nomination date."
"Donald J. Trump","Courts / Judiciary",32,"action","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Direct Senate source listing Barrett nomination date."
"Donald J. Trump","Courts / Judiciary",21,"outcome","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Best single official source for the three-confirmation outcome."
"Donald J. Trump","Education / HBCUs",77,"action","Presidential Executive Order on The White House Initiative to Promote Excellence and Innovation at Historically Black Colleges and Universities","2017-02-28","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-executive-order-white-house-initiative-promote-excellence-innovation-historically-black-colleges-universities/","high","direct_attach","Direct source for the HBCU initiative order."
"Donald J. Trump","Education / HBCUs",78,"action","H.R.5363 - FUTURE Act","2019-12-19","https://www.congress.gov/bill/116th-congress/house-bill/5363/actions","high","direct_attach","Best direct source for enactment and signature of the FUTURE Act."
"Donald J. Trump","Foreign Policy / Middle East",27,"action","Presidential Proclamation Recognizing Jerusalem as the Capital of the State of Israel and Relocating the United States Embassy to Israel to Jerusalem","2017-12-06","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-proclamation-recognizing-jerusalem-capital-state-israel-relocating-united-states-embassy-israel-jerusalem/","high","direct_attach","Direct source for recognition of Jerusalem."
"Donald J. Trump","Foreign Policy / Middle East",28,"action","President Donald J. Trump Keeps His Promise To Open U.S. Embassy In Jerusalem, Israel","2018-05-14","https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trump-keeps-promise-open-u-s-embassy-jerusalem-israel/","high","direct_attach","Best direct White House source for embassy opening."
"Donald J. Trump","Foreign Policy / Middle East",19,"outcome","President Donald J. Trump Keeps His Promise To Open U.S. Embassy In Jerusalem, Israel","2018-05-14","https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trump-keeps-promise-open-u-s-embassy-jerusalem-israel/","high","direct_attach","Best single official source for the moved-embassy outcome."
"Donald J. Trump","Health Care",33,"action","H.R.1628 - American Health Care Act of 2017","2017-05-04 House passage","https://www.congress.gov/bill/115th-congress/house-bill/1628/actions","high","direct_attach","Direct source for House passage of ACA repeal legislation."
"Donald J. Trump","Health Care",22,"outcome","H.R.1628 - American Health Care Act of 2017","latest action status","https://www.congress.gov/bill/115th-congress/house-bill/1628","high","direct_attach","Best single official source showing repeal legislation did not become law."
"Donald J. Trump","Health Care / Medicaid",91,"action","H.R.1628 - American Health Care Act of 2017","2017-05-04 House passage","https://www.congress.gov/bill/115th-congress/house-bill/1628","high","direct_attach","CRS summary on bill page directly describes major Medicaid changes and spending reductions."
"Donald J. Trump","Health Care / Medicaid",92,"action","Motion to Proceed to H.R. 1628 – American Health Care Act of 2017","2017-07-24","https://trumpwhitehouse.archives.gov/briefings-statements/motion-proceed-h-r-1628-american-health-care-act-2017/","high","direct_attach","Direct administration source showing Trump urging Senate Republicans to keep pursuing repeal."
"Donald J. Trump","Health Care / Medicaid",93,"action","President Trump's First Budget Commits Significant Resources to Fight the Opioid Epidemic","2017-05-23","https://trumpwhitehouse.archives.gov/briefings-statements/president-trumps-first-budget-commits-significant-resources-fight-opioid-epidemic/","low","provisional","Budget-context source from Trump White House; use only as best-available bridge to broader administration budget proposals affecting Medicaid and healthcare spending."
"Donald J. Trump","Immigration / Border Security",23,"action","Executive Order: Border Security and Immigration Enforcement Improvements","2017-01-25","https://trumpwhitehouse.archives.gov/presidential-actions/executive-order-border-security-immigration-enforcement-improvements/","high","direct_attach","Direct source for border wall planning and enforcement expansion."
"Donald J. Trump","Immigration / Border Security",24,"action","Presidential Proclamation on Declaring a National Emergency Concerning the Southern Border of the United States","2019-02-15","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-proclamation-declaring-national-emergency-concerning-southern-border-united-states/","high","direct_attach","Direct source for emergency powers and redirected wall funding."
"Donald J. Trump","Immigration / National Security",34,"action","Executive Order Protecting the Nation from Foreign Terrorist Entry into the United States","2017-01-27","https://trumpwhitehouse.archives.gov/presidential-actions/executive-order-protecting-nation-foreign-terrorist-entry-united-states/","high","direct_attach","Direct source for the first travel-ban order."
"Donald J. Trump","Taxes / Economy",35,"action","President Donald J. Trump Signs H.R. 1370 and H.R. 1 into Law","2017-12-22","https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trump-signs-h-r-1370-h-r-1-law/","high","direct_attach","Direct White House signing source for the Tax Cuts and Jobs Act."
"Donald J. Trump","Taxes / Economy",24,"outcome","President Donald J. Trump Signs H.R. 1370 and H.R. 1 into Law","2017-12-22","https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trump-signs-h-r-1370-h-r-1-law/","high","direct_attach","Best single official source for the enacted tax-cut package outcome."
"Donald J. Trump","Trade",22,"action","Presidential Memorandum Regarding Withdrawal of the United States from the Trans-Pacific Partnership Negotiations and Agreement","2017-01-23","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-memorandum-regarding-withdrawal-united-states-trans-pacific-partnership-negotiations-agreement/","high","direct_attach","Direct source for U.S. withdrawal from TPP negotiations."
"Donald J. Trump","Trade",16,"outcome","Presidential Memorandum Regarding Withdrawal of the United States from the Trans-Pacific Partnership Negotiations and Agreement","2017-01-23","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-memorandum-regarding-withdrawal-united-states-trans-pacific-partnership-negotiations-agreement/","high","direct_attach","Best single official source for the TPP withdrawal outcome."
