future_bill_id,future_bill_title,current_future_bill_link_id,current_tracked_bill_id,current_tracked_bill_title,current_ai_decision,suggestion_type,suggested_link_type,candidate_tracked_bill_id,candidate_bill_number,candidate_tracked_bill_title,candidate_official_summary,candidate_problem_alignment,candidate_solution_alignment,candidate_population_alignment,candidate_mechanism_specificity,candidate_evidence_strength,candidate_relationship_fit,partial_reason,mechanism_inferred,mechanism_upgraded,reuse_penalty_applied,fallback_partial_used,classification_stage,candidate_total_score,candidate_rank,llm_candidate_decision,llm_reasoning_short,why_this_candidate,why_not_direct,recommended_next_step
2,HBCU Capital and Research Equity Act,2,16,HBCU Empowerment and Reform Act,remove_link,partial_conversion,Partial,16,H.R. 7660,HBCU Empowerment and Reform Act,,1,0,2,0,0,partial,problem + population strong (solution weak),False,False,False,True,fallback,3,,,,"Current tracked bill still addresses a meaningful portion of the future bill, but not enough for Direct.",Local ranking found partial-level alignment but not enough solution/mechanism strength for Direct.,convert_current_to_partial
2,HBCU Capital and Research Equity Act,2,16,HBCU Empowerment and Reform Act,remove_link,alternate_replacement,None,21,H.R. 40,Commission to Study and Develop Reparation Proposals for African Americans Act,"Commission to Study and Develop Reparation Proposals for African Americans Act This bill establishes the Commission to Study and Develop Reparation Proposals for African Americans. The commission must (1) compile documentary evidence of slavery in the United States; (2) study the role of the federal and state governments in supporting the institution of slavery; (3) analyze discriminatory laws and policies against freed African slaves and their descendants; and (4) recommend ways the United States may recognize and remedy the effects of slavery and discrimination on African Americans, including through a formal apology and compensation (i.e., reparations). The commission consists of individuals from civil society and reparations organizations and individuals appointed by the President and congressional leadership; Members of Congress and governmental employees may not serve on the commission. The commission may hold hearings, subpoena witnesses and records, and contract with other entities to conduct its work. The commission must submit its final report within 18 months of its first meeting.",0,1,0,1,1,none,,True,True,False,False,none,3,1,,,No alternate candidate cleared a conservative suggestion threshold.,"Top-ranked alternate was blocked by cross-domain mismatch, mechanism-family mismatch, broad equity-only overlap, or weak evidence.",no_good_candidate_found
2,HBCU Capital and Research Equity Act,4,18,Minority Entrepreneurship Grant Program Act of 2025,remove_link,partial_conversion,None,18,H.R. 3793,Minority Entrepreneurship Grant Program Act of 2025,,0,0,0,3,0,none,,True,False,False,False,none,3,,,,Current tracked bill should stay removed unless a reviewer sees context the ranking missed.,The current bill did not clear the local threshold for Partial.,manual_review_only
2,HBCU Capital and Research Equity Act,4,18,Minority Entrepreneurship Grant Program Act of 2025,remove_link,alternate_replacement,None,21,H.R. 40,Commission to Study and Develop Reparation Proposals for African Americans Act,"Commission to Study and Develop Reparation Proposals for African Americans Act This bill establishes the Commission to Study and Develop Reparation Proposals for African Americans. The commission must (1) compile documentary evidence of slavery in the United States; (2) study the role of the federal and state governments in supporting the institution of slavery; (3) analyze discriminatory laws and policies against freed African slaves and their descendants; and (4) recommend ways the United States may recognize and remedy the effects of slavery and discrimination on African Americans, including through a formal apology and compensation (i.e., reparations). The commission consists of individuals from civil society and reparations organizations and individuals appointed by the President and congressional leadership; Members of Congress and governmental employees may not serve on the commission. The commission may hold hearings, subpoena witnesses and records, and contract with other entities to conduct its work. The commission must submit its final report within 18 months of its first meeting.",0,1,0,1,1,none,,True,True,False,False,none,3,1,,,No alternate candidate cleared a conservative suggestion threshold.,"Top-ranked alternate was blocked by cross-domain mismatch, mechanism-family mismatch, broad equity-only overlap, or weak evidence.",no_good_candidate_found
2,HBCU Capital and Research Equity Act,6,20,GRAD Act,remove_link,partial_conversion,None,20,H.R. 7341,GRAD Act,,0,0,0,1,0,none,,False,False,False,False,none,1,,,,Current tracked bill should stay removed unless a reviewer sees context the ranking missed.,The current bill did not clear the local threshold for Partial.,manual_review_only
2,HBCU Capital and Research Equity Act,6,20,GRAD Act,remove_link,alternate_replacement,None,21,H.R. 40,Commission to Study and Develop Reparation Proposals for African Americans Act,"Commission to Study and Develop Reparation Proposals for African Americans Act This bill establishes the Commission to Study and Develop Reparation Proposals for African Americans. The commission must (1) compile documentary evidence of slavery in the United States; (2) study the role of the federal and state governments in supporting the institution of slavery; (3) analyze discriminatory laws and policies against freed African slaves and their descendants; and (4) recommend ways the United States may recognize and remedy the effects of slavery and discrimination on African Americans, including through a formal apology and compensation (i.e., reparations). The commission consists of individuals from civil society and reparations organizations and individuals appointed by the President and congressional leadership; Members of Congress and governmental employees may not serve on the commission. The commission may hold hearings, subpoena witnesses and records, and contract with other entities to conduct its work. The commission must submit its final report within 18 months of its first meeting.",0,1,0,1,1,none,,True,True,False,False,none,3,1,,,No alternate candidate cleared a conservative suggestion threshold.,"Top-ranked alternate was blocked by cross-domain mismatch, mechanism-family mismatch, broad equity-only overlap, or weak evidence.",no_good_candidate_found
3,Black Homeownership and Appraisal Fairness Act,7,14,Appraisal Modernization Act,remove_link,partial_conversion,Partial,14,S. 2322,Appraisal Modernization Act,,1,1,0,1,1,partial,balanced alignment across problem + solution + mechanism,True,False,False,False,secondary_partial,4,,,,"Current tracked bill still addresses a meaningful portion of the future bill, but not enough for Direct.",Local ranking found partial-level alignment but not enough solution/mechanism strength for Direct.,convert_current_to_partial
3,Black Homeownership and Appraisal Fairness Act,7,14,Appraisal Modernization Act,remove_link,alternate_replacement,None,21,H.R. 40,Commission to Study and Develop Reparation Proposals for African Americans Act,"Commission to Study and Develop Reparation Proposals for African Americans Act This bill establishes the Commission to Study and Develop Reparation Proposals for African Americans. The commission must (1) compile documentary evidence of slavery in the United States; (2) study the role of the federal and state governments in supporting the institution of slavery; (3) analyze discriminatory laws and policies against freed African slaves and their descendants; and (4) recommend ways the United States may recognize and remedy the effects of slavery and discrimination on African Americans, including through a formal apology and compensation (i.e., reparations). The commission consists of individuals from civil society and reparations organizations and individuals appointed by the President and congressional leadership; Members of Congress and governmental employees may not serve on the commission. The commission may hold hearings, subpoena witnesses and records, and contract with other entities to conduct its work. The commission must submit its final report within 18 months of its first meeting.",0,1,0,1,1,none,,True,True,False,False,none,3,1,,,No alternate candidate cleared a conservative suggestion threshold.,"Top-ranked alternate was blocked by cross-domain mismatch, mechanism-family mismatch, broad equity-only overlap, or weak evidence.",no_good_candidate_found
3,Black Homeownership and Appraisal Fairness Act,8,15,Appraisal Modernization Act,remove_link,partial_conversion,Partial,15,H.R. 5975,Appraisal Modernization Act,,1,1,0,1,1,partial,balanced alignment across problem + solution + mechanism,True,False,False,False,secondary_partial,4,,,,"Current tracked bill still addresses a meaningful portion of the future bill, but not enough for Direct.",Local ranking found partial-level alignment but not enough solution/mechanism strength for Direct.,convert_current_to_partial
3,Black Homeownership and Appraisal Fairness Act,8,15,Appraisal Modernization Act,remove_link,alternate_replacement,None,21,H.R. 40,Commission to Study and Develop Reparation Proposals for African Americans Act,"Commission to Study and Develop Reparation Proposals for African Americans Act This bill establishes the Commission to Study and Develop Reparation Proposals for African Americans. The commission must (1) compile documentary evidence of slavery in the United States; (2) study the role of the federal and state governments in supporting the institution of slavery; (3) analyze discriminatory laws and policies against freed African slaves and their descendants; and (4) recommend ways the United States may recognize and remedy the effects of slavery and discrimination on African Americans, including through a formal apology and compensation (i.e., reparations). The commission consists of individuals from civil society and reparations organizations and individuals appointed by the President and congressional leadership; Members of Congress and governmental employees may not serve on the commission. The commission may hold hearings, subpoena witnesses and records, and contract with other entities to conduct its work. The commission must submit its final report within 18 months of its first meeting.",0,1,0,1,1,none,,True,True,False,False,none,3,1,,,No alternate candidate cleared a conservative suggestion threshold.,"Top-ranked alternate was blocked by cross-domain mismatch, mechanism-family mismatch, broad equity-only overlap, or weak evidence.",no_good_candidate_found
7,Redlining Reparations and Homeownership Equity Act,33,32,Downpayment Toward Equity Act of 2025,remove_link,partial_conversion,None,32,H.R. 4069,Downpayment Toward Equity Act of 2025,,0,0,0,3,0,none,,True,False,False,False,none,3,,,,Current tracked bill should stay removed unless a reviewer sees context the ranking missed.,The current bill did not clear the local threshold for Partial.,manual_review_only
