president,bucket,row_id,row_type,source_title,source_date,url,fit,recommended_use,notes
"Benjamin Harrison","Voting Rights / Federal Enforcement",188,"action","First Annual Message","1889-12-03","https://www.presidency.ucsb.edu/documents/first-annual-message-14","high","direct_attach","Best direct source for Harrison urging stronger federal protection of suffrage and civil rights."
"Benjamin Harrison","Voting Rights / Federal Enforcement",189,"action","Toward a 'Temporary Farewell'","n/a","https://history.house.gov/Exhibitions-and-Publications/BAIC/Historical-Essays/Fifteenth-Amendment/Temporary-Farewell/","high","direct_attach","Best source here for the Lodge Elections Bill as the main federal restoration vehicle."
"Benjamin Harrison","Voting Rights / Federal Enforcement",190,"action","Toward a 'Temporary Farewell'","n/a","https://history.house.gov/Exhibitions-and-Publications/BAIC/Historical-Essays/Fifteenth-Amendment/Temporary-Farewell/","high","direct_attach","Directly states the bill languished and died in the Senate."
"Benjamin Harrison","Voting Rights / Federal Enforcement",82,"outcome","Toward a 'Temporary Farewell'","n/a","https://history.house.gov/Exhibitions-and-Publications/BAIC/Historical-Essays/Fifteenth-Amendment/Temporary-Farewell/","high","direct_attach","Best single outcome source for failed restoration of federal election protection."
"Chester A. Arthur","Civil Rights / Federal Enforcement",185,"action","Civil Rights Cases, 109 U.S. 3 (1883)","1883-10-15","https://www.govinfo.gov/app/details/USREPORTS-109/USREPORTS-109-3","high","direct_attach","Direct source for the ruling that struck major parts of the Civil Rights Act of 1875."
"Chester A. Arthur","Civil Rights / Federal Enforcement",186,"action","Third Annual Message","1883-12-04","https://www.presidency.ucsb.edu/documents/third-annual-message-13","low","provisional","Use only if you need a period-specific administration document; this is inferential evidence for no major replacement response."
"Chester A. Arthur","Civil Rights / Federal Enforcement",187,"action","Fourth Annual Message","1884-12-01","https://www.presidency.ucsb.edu/documents/fourth-annual-message-12","low","provisional","Best available presidential-period context for continued narrowed federal posture; still an inference."
"Chester A. Arthur","Civil Rights / Federal Enforcement",81,"outcome","Civil Rights Cases, 109 U.S. 3 (1883)","1883-10-15","https://www.govinfo.gov/app/details/USREPORTS-109/USREPORTS-109-3","medium","direct_attach","Strong on the narrowing itself; weaker on the 'no replacement response' half of the outcome."
"Dwight D. Eisenhower","Civil Rights / Federal Enforcement / Education",151,"action","Executive Order 10730: Desegregation of Central High School","1957-09-23","https://www.archives.gov/milestone-documents/executive-order-10730","high","direct_attach","Direct source for federalizing the Arkansas National Guard."
"Dwight D. Eisenhower","Civil Rights / Federal Enforcement / Education",152,"action","Executive Order 10730: Desegregation of Central High School","1957-09-23","https://www.archives.gov/milestone-documents/executive-order-10730","high","direct_attach","Direct source for sending federal troops to enforce desegregation at Central High."
"Dwight D. Eisenhower","Civil Rights / Federal Enforcement / Education",66,"outcome","Executive Order 10730: Desegregation of Central High School","1957-09-23","https://www.archives.gov/milestone-documents/executive-order-10730","high","direct_attach","Best single source for the Little Rock enforcement outcome."
